"","term","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","first_contact_period"
"1","Intercept",4.49265994137527,0.138267576563686,4.21752041887481,4.7666555703903,1.00013869041477,11839.1763468375,11494.6388859211,4
"2","unfamiliarity",-0.132546449492981,0.131181708244464,-0.393089785701889,0.127802184222231,1.00031861355638,25417.9667242676,13214.8277384898,4
"3","Intercept",5.16365225065499,0.164400179851894,4.82825125380843,5.47773740909936,1.00006688059312,8121.82251470157,7988.68499448053,8
"4","unfamiliarity",-0.421184717184216,0.158130883419082,-0.735046864193829,-0.11551284951257,1.000018587602,18421.4412987837,12753.6855533929,8
"5","Intercept",5.50400704853173,0.129070929351291,5.2465346242955,5.75844899196295,1.00016481042934,12881.072743797,9153.999103136,12
"6","unfamiliarity",-0.499223721465795,0.143635647606629,-0.786461085582492,-0.217711382950581,1.00000857512149,20517.8878947712,11767.2145851039,12
"7","Intercept",5.76324910121126,0.136057992124849,5.49764567766252,6.04427779426763,1.00058857914236,13529.3284043669,10142.8059658068,16
"8","unfamiliarity",-0.534982487018561,0.150753195824411,-0.836043381915304,-0.23828904687777,1.00043812053387,22120.6582496094,12722.2788354711,16
"9","Intercept",5.82210426391995,0.145880141243203,5.53812237378541,6.11563345798053,1.00086351854141,9244.68779985895,7361.83925315977,20
"10","unfamiliarity",-0.657475074328449,0.145436221827175,-0.94703541279962,-0.373408559446106,1.00001049682782,20525.0611018573,12128.0715534789,20
"11","Intercept",-25.9953917581031,71.2629478171717,-185.339479801695,6.15257150789273,1.37723353583788,12.8817814580945,23.9282011838054,24
"12","unfamiliarity",8.97838406277476,21.5363533042338,-0.904503105934948,57.1330115522344,1.37759261217974,12.8589422437013,24.246468064255,24
